Title,Authors,Author Affiliations,Publication Title,Date Added To Xplore,Publication Year,Volume,Issue,Start Page,End Page,Abstract,ISSN,ISBNs,DOI,Funding Information,PDF Link,Author Keywords,IEEE Terms,Mesh_Terms,Article Citation Count,Patent Citation Count,Reference Count,License,Online Date,Issue Date,Meeting Date,Publisher,Document Identifier
A contribution to Commissioning as enabler of nuclear infrastructure delivery: Tests and trials program elaboration and management,A. Gaignebet; V. Chapurlat; G. Zacharewicz; V. Richet; R. Plana,"Laboratoire des Sciences des Risques (LSR), IMT Mines Ales, Alès, France; Laboratoire des Sciences des Risques (LSR), IMT Mines Ales, Alès, France; Laboratoire des Sciences des Risques (LSR), IMT Mines Ales, Alès, France; Assystem Energy and Operation Services, Courbevoie, France; Assystem Energy and Operation Services, Courbevoie, France",2020 IEEE International Symposium on Systems Engineering (ISSE),4-Dec-20,2020,,,1,8,"This paper proposes a new methodology to conduct commissioning activities for Basic Nuclear Facility (BNF) based on the implementation of a Model Based System Engineering (MBSE) approach coupled with theoretical foundations concerning the commissioning processes and the feedback of experience inherited from previous projects. The methodology illustrates the benefits of the MBSE to take into account the interfaces between the stakeholders, the building, equipment and processes and the different constraints related to the type of facility (safety and security requirements). The methodology is supported by two industrial nuclear projects and has allowed the elaboration of an innovative tests and trials program that will open the route to the early V&V applications that turn into a significant reduction of extra costs occurring in the case of commissioning projects.",2687-8828,978-1-7281-8602-3,10.1109/ISSE49799.2020.9272027,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9272027,Commissioning;MBSE;Nuclear facility;Model;Test;Trial;Validation;Verification;Integration;Qualification,Data models;Stakeholders;Tools;Safety;Security;Analytical models;Testing,,2,,18,IEEE,4-Dec-20,12 Oct.-12 Nov. 2020,12 Oct.-12 Nov. 2020,IEEE,IEEE Conferences
IoT-Based 3D Visualisation Platform for an Efficient Management of the Smart City Ecosystem,G. Suciu; L. Necula; T. Usurelu; I. Rogojanu; M. -C. Diţu; A. Vulpe,"Research & Development, Beia Consult International, Bucharest, Romania; Research & Development, Beia Consult International, Bucharest, Romania; Research & Development, Beia Consult International, Bucharest, Romania; Telecommunications Department, University POLITEHNICA of Bucharest, Bucharest, Romania; Telecommunications Department, University POLITEHNICA of Bucharest, Bucharest, Romania; Telecommunications Department, University POLITEHNICA of Bucharest, Bucharest, Romania",2018 Global Wireless Summit (GWS),11-Apr-19,2018,,,37,42,"Nowadays, most of the urban developments are based on ICT (Information and Communication Technology) solutions which can increase the socio-economic development the quality of life. Smart Cities have been pointed out as the most promising applications of Internet of Things (IoT). Despite all standardisation processes, building a Smart City IoT platform remains a challenge. The continuous changes in IoT environment require the system to adopt new technologies dynamically. To address this challenge, our proposal is the deployment of the CitiSim platform which can simulate 3D models for events processing and supports different Operating Systems (OS) enabling new business models. The main advantage of the CitiSim platform is that it enables Big Data analytics tools to monitor data coming from heterogeneous sources. The primary objective is the identification of the environmental, social, and economic indicators used in order to build smart urban models that contribute to the process of decision making for improving land use, transport, energy, and user needs, classified and evaluated with respect to the criteria of a specific district.",,978-1-5386-4288-7,10.1109/GWS.2018.8686529,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8686529,IoT;Smart City;3D visualisation;CitiSim,Wireless communication;Solid modeling;Visualization;Three-dimensional displays;Smart cities;Biological system modeling;Information and communication technology;Internet of Things;Monitoring;Business,,1,,17,IEEE,11-Apr-19,25-28 Nov. 2018,25-28 Nov. 2018,IEEE,IEEE Conferences
Pre-design Evaluation System for Urban Design Based on the RDF,X. Wang; S. Li; C. Sun; H. Liu,"College of Architecture and Urban Planning, Tongji University, Shanghai, China; Department of Architecture, National University of Singapore, Queenstown, Singapore; College of Architecture and Urban Planning, Tongji University, Shanghai, China; Faculty of Social Sciences, University of Southampton, Southampton, United Kingdom","2023 International Conference on Computer, Internet of Things and Smart City (CIoTSC)",7-Oct-24,2023,,,85,91,"Urban design methodology relies on synthesizing knowledge and information from multiple domains and platforms. The integration, storage, and retrieval of this extensive multi-source data must be conducted rationally. However, City Information Models (CIM) and Urban Digital Twins (UDT) primarily prioritize geometric information, neglecting the integration and management of semantic and dynamic information. This limitation hinders comprehensive analysis and simulation, and fails to provide detailed references for policymakers and designers. Drawing upon a comprehensive literature review, this study proposes a structured data integration system for urban and districts based on the Resource Description Framework (RDF). This system encompasses geometric, semantic, and dynamic information. Objects are defined as instances with accompanying semantic information, forming a network of topological relationships. Furthermore, raw dynamic information, such as passenger and traffic flows, is characterized, simplified, and stored as data segments for simulation. This system serves as the foundational data source for developing smart city platforms. It finds application in the pre-evaluation of planning and design projects, promoting sustainable energy usage, enhancing public health, and more. Consequently, it contributes significantly to the advancement of digital cities.",,979-8-3503-0656-9,10.1109/CIoTSC60428.2023.00020,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10695517,component;RDF;Data Integration;Urban Digital Twins;BIM;CityGML,Smart cities;Bibliographies;Soft sensors;Semantics;Resource description framework;Robustness;Digital twins;Internet of Things;Vehicle dynamics;Sustainable development,,,,47,IEEE,7-Oct-24,3-5 Nov. 2023,3-5 Nov. 2023,IEEE,IEEE Conferences
Enabling Smart Road Safety: Constrained Device Utilization for Accident Prevention in Traffic Congestion,A. Khatoon; A. Ullah; I. Ahmed; A. Aslam; M. B. Roslee; S. Ahmad,"School of Information Engineering, Chang'an University, Xi'an, China; School of Information Engineering, Xi’ an Eurasia University, Xi’ an, Shaanxi, China; School of Marine Science, Northwestern Polytechnical University, Xi’ an, China; School of Information Engineering, Chang'an University, Xi'an, China; Faculty of Engineering Multimedia, Multimedia University University, Cyberjaya, Malaysia; School of Electronic Engineering, Beijing University of posts and Telecommunications",2024 Multimedia University Engineering Conference (MECON),10-Dec-24,2024,,,1,6,"Computer Vision (CV) analysis on constrained devices plays a crucial role in enhancing road safety and mitigating traffic congestion. This study demonstrates the integration of image segmentation and classification techniques into traffic monitoring systems on devices with limited computational power, such as dashboard cameras, smartphones, and IoT sensors. These technologies enable efficient real-time data collection and processing in densely populated urban areas, facilitating the immediate detection of irregular traffic patterns and potential collision points by leveraging edge computing and optimized algorithms. By implementing these analyses directly on constrained devices strategically placed within traffic systems, our approach provides timely responses to dynamic conditions, significantly reducing accident risks through early warnings and adaptive route suggestions. Our research also shows that CV systems can monitor driver behavior, detect attention or weariness, and give timely signals to improve driver response times. The data supports improving traffic signal timings, which might reduce vehicle idle times and improve traffic flow, thus increasing road safety and reducing environmental impact. The study provides a comprehensive methodology for implementing high-quality CV technologies in resource-constrained environments, highlighting advancements in edge computing and energy-efficient hardware. These advances underscore the importance of CV in building sustainable, resilient transport networks and its versatility in municipal and vehicle traffic management, enabling proactive measures to reduce accidents.",,979-8-3315-3074-7,10.1109/MECON62796.2024.10776191,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10776191,Computer Vision;Traffic Congestion;Accident Prevention;Image Segmentation;Real-time Data Collection,Computer vision;Data collection;Road safety;Real-time systems;Vehicle dynamics;Traffic congestion;Monitoring;Edge computing;Accidents;Vehicles,,1,,13,IEEE,10-Dec-24,23-25 July 2024,23-25 July 2024,IEEE,IEEE Conferences
An Exploration on building of Smart Office through AI and IOT,R. Sharma; K. S,"Department of Computing Science & IT, Teerthanker Mahaveer University, Moradabad, India; Department of Computer Science and Engineering, Jain University, Bangalore, India","2022 Fourth International Conference on Emerging Research in Electronics, Computer Science and Technology (ICERECT)",15-Mar-23,2022,,,1,6,"The Internet of Things (IoT) has completely changed how many different sectors are served. These industries are currently a promising ground for researchers to apply IoT. The purpose of this study is to suggest an intelligent IoT-based office concept. It focuses on three areas in order to produce a productive working environment. We suggest a system for the Internet of Things-enabled smart office. Our system configuration, which uses Google Voice Over Protocol and Android-based applications, makes it easy to manage a smart office environment. This system is possibly reasonable for bigger office spaces thanks to the utilization of lightweight MQTT favourable to tools, high-recurrence RF trans-beneficiaries, and Raspberry 2 Z-wave-based significant distance regulators. PIR, gas, fire, sound, light, temperature, and moistness sensors are remembered for the system for low power utilization, elite execution, and fast chance to-time reaction QoS boundaries. With a committed channel for every sensor signal, safeguarded by AES encryption, and fitting and-play highlights, we ensure trustworthy correspondence. Also included is mail-based anomaly or emergency alarm notice. Finally, we carried out the experiment and put the created system to the test on Android phones and a smart watch called the Moto360 Watch.",,978-1-6654-5635-7,10.1109/ICERECT56837.2022.10059619,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10059619,Artificial intelligence;Internet of Things;Smart Office,Temperature sensors;Temperature measurement;Smart buildings;Regulators;Manuals;Sensor systems;Internet of Things,,,,15,IEEE,15-Mar-23,26-27 Dec. 2022,26-27 Dec. 2022,IEEE,IEEE Conferences
Ontology-based reasoning to reconFigure industrial processes for energy efficiency,D. Kouzapas; N. Stylianidis; C. G. Panayiotou; D. G. Eliades,"KIOS Research and Innovation Center of Excellence, University of Cyprus, Cyprus; KIOS Research and Innovation Center of Excellence, University of Cyprus, Cyprus; KIOS Research and Innovation Center of Excellence, University of Cyprus, Cyprus; KIOS Research and Innovation Center of Excellence, University of Cyprus, Cyprus",2023 31st Mediterranean Conference on Control and Automation (MED),25-Jul-23,2023,,,79,84,"Modern factories collect and process a large volume of different types of industrial process data. These data are used to develop metrics and Key Performance Indicators to monitor and improve productivity and the efficiency of a factory. Improving the efficiency of an industrial process, however, This work develops an ontology-based framework that semantically describes an industrial process, and in particular it describes the elements of physical connectivity, industrial behaviour, and KPIs. Using a notion of sub-process hierarchy, a Decision Support System explores and suggests options for reconfiguring the elements of the industrial process, to improve efficiency. A proof-of-concept use-case from the KIOS Water System Testbed is presented. The pumping station (connectivity, behaviour and energy efficiency KPIs) of the Testbed is semantically modelled, whereas the DSS suggests reconfiguration options for improving its overall energy efficiency.",2473-3504,979-8-3503-1543-1,10.1109/MED59994.2023.10185805,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10185805,,Decision support systems;Productivity;Automation;Key performance indicator;Process control;Energy efficiency;Production facilities,,3,,20,IEEE,25-Jul-23,26-29 June 2023,26-29 June 2023,IEEE,IEEE Conferences
Emergency Classification Level Automatic Judgment and Warning System Based on Emergency Action Level of Nuclear Power Plant,Q. CHEN; Q. -M. ZHANG; L. ZHAI,"Middle East Technical University, Turkey; Nanyang Technological University, Singapore; King Abdullah University of Science and Technology, Kingdom of Saudi Arabia",2018 International Conference on Power System Technology (POWERCON),6-Jan-19,2018,,,4632,4636,"The emergency plan is an indispensable part of the safety of nuclear power plants. It generally includes four Emergency Classification Levels, each of which corresponds to a set of emergency response actions. Emergency Classification Level (ECL) is one of a set of names or titles established for grouping off-normal events or conditions of nuclear power plants according to: 1.) potential or actual effects or consequences, and 2.) resulting onsite and offsite response actions. The ECLs established by U.S. NRC, in ascending order of severity, are 1.) Notification of Unusual Event, 2.) Alert, 3.) Site Area Emergency and 4.) General Emergency. In China, the corresponding ECLs are 1.) Emergency Standby, 2.) Plant Emergency, 3.) Site Emergency and 4.) Off-site Emergency. To determine the emergency classification level of nuclear power plants, the concept and methodology of Emergency Action Level(EAL) is proposed by NRC. EAL is a pre-determined, site-specific, observable threshold for an Initiating Condition(IC) that, when met or exceeded, places the plant in a given emergency classification level. EAL statements may utilize a variety of criteria including instrument readings and status indications; observable events; results of calculations and analyses; entry into particular procedures; and the occurrence of natural phenomena. According to the methodology proposed by NRC, the specific IC/EALs have been studied and developed by each nuclear power plant in China. As the IC/EALs contain complex threshold and logic, it is difficult for emergency response personnel and decision makers to give the quick judgment of emergency classification level manually. It is necessary to build an emergency classification level automatic judgment and warning system based on emergency action level for each nuclear power plant. A complete solution of this system is present in this paper. The core issues such as data model, trigger mechanism of threshold and logical control process are deeply discussed. Fundamentally, a set of computerized data model is designed and built to describe characteristic of IC, EAL, ECL and other concepts or elements. Access to automatic data and manual data of nuclear power plant is also considered in these data model. Further, the trigger mechanism of threshold in the system is designed to include two layers in which the first layer is used to trigger the numerical conditions and second to trigger the time conditions. Different warning information is also designed to correspond to these two layers. Referring to the basic principle of circuit logic gate, the system gives a similar logical control process. Beginning with one or more parameters, the logical control flow eventually moves towards the specific ECL via the combination of threshold trigger controllers and logic gates. The above core issues discussed provide basic models and principles for system implementation. Based on the basic models and principles, a complete ECL automatic judgment and warning system based on EAL is developed and established. The paper introduces the basic framework and modules of the system briefly. And the important functions and components such as database, threshold trigger module, automatic judgment and warning module and so on are discussed in detail and in depth. The system has been applied in depth at Qinshan Nuclear Power Base and other nuclear power plants in China. It is indicated that the system is fast and accurate in emergency exercises by providing timely and effective information of ECL judgment and warning for emergency response personnel and decision makers.",,978-1-5386-6461-2,10.1109/POWERCON.2018.8601954,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8601954,Emergency Classification Level;Emergency Action Level;Initiating Condition;Nuclear Power Plant,Power generation;Logic gates;Inductors;Data models;Monitoring;Integrated circuits;Manuals,,1,,8,IEEE,6-Jan-19,6-8 Nov. 2018,6-8 Nov. 2018,IEEE,IEEE Conferences
CityGML and IFC: Going further than LOD,C. -E. Tolmer; C. Castaing; Y. Diab; D. Morand,"Egis International, Place des frères Montgolfier, France; Egis International, Place des frères Montgolfier, France; Ecole des Ingénieurs de la Ville de Paris (EIVP), Université Paris Est, Paris, France; Urban Engineering Team, Paris Est Marne-La-Vallée University, Champs-sur-Marne, France",2013 Digital Heritage International Congress (DigitalHeritage),20-Feb-14,2013,1,,645,648,"Modeling a built environment for any construction project or asset management is usually limited to a simple 3D visualization. Data and metadata related to modeled objects are not included sufficiently in the modeling, especially for infrastructures. In addition, the needs of the construction industry are constantly changing: we mainly retain in a lot of projects, concurrent engineering, life cycle analysis and the implementation of the European Directive INSPIRE. These changes in the design and building practices require large flows of information that cannot be left to self-organization. Furthermore, the information flow from the project to the built heritage is sequenced. Following these findings, we examined the existing data models for the construction trades such as CityGML and IFC. Both of these standards provide in principle to manage design, construction and operation of a project. Firstly, this paper shows the reason for which we believe that the approach by these two standards is not sufficient to structure information in urban and infrastructure projects, considering design but also long-term operation of built structures. In addition, we discuss the fact that IFC and CityGML data models respectively integrate Level Of Development and Level Of Detail which differ in their name and also in their content. We will explain our interpretation of these two kinds of levels. Finally, we discuss about adding other levels types which are needed to make the data model more structured and consistent to the various demands and needs that must respond, from the beginning of the project to the asset management.",,978-1-4799-3170-5,10.1109/DigitalHeritage.2013.6743808,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6743808,IFC;CityGML;LOD;Digital mockup;Data model,Data models;Solid modeling;Cities and towns;Three-dimensional displays;Standards;Buildings;Data visualization,,9,,15,IEEE,20-Feb-14,28 Oct.-1 Nov. 2013,28 Oct.-1 Nov. 2013,IEEE,IEEE Conferences
SemTagP: Semantic Community Detection in Folksonomies,G. Ereteo; F. Gandon; M. Buffa,"Orange Laboratories, Sophia Antipolis, France; INRIA-Edelweiss, Sophia Antipolis, France; KEWI, I3S, University of Nice, France",2011 IEEE/WIC/ACM International Conferences on Web Intelligence and Intelligent Agent Technology,10-Oct-11,2011,1,,324,331,"Building on top of our results on semantic social network analysis, we present a community detection algorithm, SemTagP, that takes benefits of the semantic data that were captured while structuring the RDF graphs of social networks. SemTagP not only offers to detect but also to label communities by exploiting (in addition to the structure of the social graph) the tags used by people during the social tagging process as well as the semantic relations inferred between tags. Doing so, we are able to refine the partitioning of the social graph with semantic processing and to label the activity of detected communities. We tested and evaluated this algorithm on the social network built from Ph.D. theses funded by ADEME, the French Environment and Energy Management Agency. We showed how this approach allows us to detect and label communities of interest and control the precision of the labels.",,978-1-4577-1373-6,10.1109/WI-IAT.2011.98,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6038702,semantic web;social network analysis;folksonomy;community detection,Communities;Semantics;Resource description framework;Social network services;Partitioning algorithms;Ontologies;Tagging,,25,2,11,IEEE,10-Oct-11,22-27 Aug. 2011,22-27 Aug. 2011,IEEE,IEEE Conferences
SCDIoT: Social Cross-Domain IoT Enabling Application-to-Application Communications,Y. Saleem; N. Crespi; P. Pace,"Institut Mines-Telecom, Telecom SudParis, Evry, France; Institut Mines-Telecom, Telecom SudParis, Evry, France; University of Calabria, Rende, Italy",2018 IEEE International Conference on Cloud Engineering (IC2E),17-May-18,2018,,,346,350,"Achieving global interoperability among IoT systems has become a very real possibility due to the heterogeneity at all levels of IoT. Besides achieving interoperability, it will become very important to establish social relationships and communications among IoT devices (or things), humans and applications. Social relationships in IoT have been realized through the Social IoT (SIoT) paradigm which is one of the trending feature in the IoT. The SIoT is currently consisted of two types of communications: things-to-things and things-to-human communications; in addition, we propose social cross-domain IoT (SCDIoT), a third type of SIoT communication at a global level which enables application-to-application communication in the IoT. Although interoperability allows the exchange and reuse of data among various applications, it does not focus on the social relationships among IoT applications through which those applications can closely collaborate with each other. SCDIoT fills this gap by operating one level above interoperability. It allows collaboration among IoT applications by enabling them to talk to each other, building social relations and benefitting from each other via various useful services, truly exploiting the advantages of interoperability. We present the concept of SCDIoT, its logical framework and some potential use case scenarios, together with the challenges and possible future research directions.",,978-1-5386-5008-0,10.1109/IC2E.2018.00068,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8360352,Internet of Things;Social Internet of Things;Interoperability;Cross-domain Applications;Application-to-Application Communication,Interoperability;Temperature measurement;Sensors;Social network services;Collaboration;Protocols;Semantics,,3,,22,IEEE,17-May-18,17-20 April 2018,17-20 April 2018,IEEE,IEEE Conferences
Service-orientation vs. real-time: Integrating smart-homes into the smart-grid,Y. K. Penya; C. E. Borges; A. Peña; O. Kamara Esteban,"Energy Lab, DeustoTech, University of Deusto, Bilbao, Basque; Energy Lab, DeustoTech, University of Deusto, Bilbao, Basque; Energy Lab, DeustoTech, University of Deusto, Bilbao, Basque; Energy Lab, DeustoTech, University of Deusto, Bilbao, Basque",IECON 2013 - 39th Annual Conference of the IEEE Industrial Electronics Society,2-Jan-14,2013,,,5755,5760,"Building automation has grown in parallel to energy smart grids without much interaction. However, at present, these two worlds cannot remain separated any more, as long as intelligent buildings become another node of the grid. This paper shows that this integration can be performed in practice as long as a harmonized knowledge/data model for the two worlds can be defined. This paper describes how this harmonized model can be achieved, how it can be implemented as part of a smart grid node, and how it could work and be deployed in a case study.",1553-572X,978-1-4799-0224-8,10.1109/IECON.2013.6700077,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6700077,,Protocols;Data models;Real-time systems;Computer integrated manufacturing;IEC standards;Smart grids,,2,,24,IEEE,2-Jan-14,10-13 Nov. 2013,10-13 Nov. 2013,IEEE,IEEE Conferences
Heterogeneous Interoperable Sensors Integrating Cognitive Knowledge for IOT-Based Cross-Domain Applications,K. Anitha; B. M. Kumar; K. S. V. Prasad,"School of Computing and Information Technology, REVA University, Bengaluru, Karnataka, India; School of Computing and Information Technology, REVA University, Bengaluru, Karnataka, India; School of Computing and Information Technology, REVA University, Bengaluru, Karnataka, India",IEEE Sensors Journal,1-Apr-25,2025,25,7,12119,12127,"The Internet of Things (IoT) technology has enabled a proliferation of linked devices that produce a massive amount of heterogeneous data. Massive amounts of data from the IoT devices can cause interoperability issues, including issues with communication protocols, device compatibility, and open standards adoption. To overcome these drawbacks, a novel heterogeneous INTeroperable sensors (HintSense) technique has been proposed, which improves semantic interoperability by enabling deep knowledge in the IoT link layer. The proposed model integrates heterogeneous sensors, such as temperature and humidity sensors, that are connected with various operations and data management systems on different applications, including weather and healthcare. The sensor data will be organized in an identical form using the SenML model, and semantic modeling converts relational data into RDF format. The proposed model uses the Gannet optimization with Squeeze and Excitation-based ResNeXt (GO-SER) blocks to build deep knowledge and facilitate data reuse. By linking domain ontologies and datasets, an M3 reasoning engine makes data integration and transmission more efficient. The HintSense strategy is evaluated using the Cooja simulator based on metrics, such as accuracy (ACC), latency, throughput, and energy efficiency, and it yields better results than other strategies. The proposed HintSense achieves higher throughput of 33.33%, 20.00%, and 9.09% than the existing techniques, such as HeDI, fuzzy logic technique, and MDSS techniques, respectively. Providing real-time data interpretation and interoperability for the IoT ecosystems, this work offers scalable and effective solutions for weather monitoring and healthcare applications.",1558-1748,,10.1109/JSEN.2025.3526284,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10849605,Gannet optimization algorithm (GOA);heterogenous sensors;interoperability;squeeze and excitation-based Resnext,Sensors;Internet of Things;Interoperability;Semantics;Temperature sensors;Ontologies;Medical services;Data models;Monitoring;Standards,,1,,31,IEEE,22-Jan-25,"1 April1, 2025",,IEEE,IEEE Journals
BERT-based Question Answering using Knowledge Graph Embeddings in Nuclear Power Domain,Z. Ma; K. Yan; H. Wang,"Zhejiang University-University of Illinois at Urbana-Champaign Institute, Zhejiang University, Haining, China; Zhejiang University-University of Illinois at Urbana-Champaign Institute, Zhejiang University, Haining, China; Zhejiang University-University of Illinois at Urbana-Champaign Institute, Zhejiang University, Haining, China",2023 26th International Conference on Computer Supported Cooperative Work in Design (CSCWD),22-Jun-23,2023,,,267,272,"In order to improve the resource utilization rate of existing nuclear power data and promote workers to efficiently obtain the operation information of nuclear power units and assist them in fault diagnosis and maintenance decision-making, this paper constructs a knowledge graph question answering (KGQA) dataset in the field of nuclear power. The BEm-KGQA model based on the pre-trained language model and knowledge graph embedding method was proposed. Our model learns the embedded representation of the knowledge graph through BERT and fine-tunes the BERT model. In the question embedding stage, it learns the embedded representation of the question based on the fine-tuned BERT model. Through experiments, we demonstrate the effectiveness of the method over other models. In addition, this paper implements a nuclear power question answering system. Based on the question answering system, employees can learn about unit information and efficiently obtain information on unusual operating events of nuclear power.",2768-1904,979-8-3503-3168-4,10.1109/CSCWD57460.2023.10152692,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10152692,Knowledge Graph Question Answering;KBQA;Knowledge Graph Embedding;BERT;Nuclear Power,Industries;Fault diagnosis;Federated learning;Bit error rate;Decision making;Knowledge graphs;Maintenance engineering,,8,,24,IEEE,22-Jun-23,24-26 May 2023,24-26 May 2023,IEEE,IEEE Conferences
Identification of Distributed Generation from Load data in Power Systems,W. Li; S. Zhang; S. Dong; Y. Tang; X. Yin; G. Liu; H. Shi,"Yunnan Power Grid Co.,Ltd, Kunming, China; Smart Grid Department, Envision Digital, Beijing, China; Yunnan Power Grid Co.,Ltd, Kunming, China; Smart Grid Department, Envision Digital, Redwood City, USA; Yunnan Power Grid Co.,Ltd, Kunming, China; Smart Grid Department, Envision Digital, Redwood City, USA; Yunnan Power Grid Co.,Ltd, Chuxiong, China",2023 3rd International Conference on New Energy and Power Engineering (ICNEPE),16-Feb-24,2023,,,683,689,"In modern power systems, distributed energy resources (DER) can ensure grid stability, meet load demand, and better plan and manage grid operations, making its role increasingly significant. Grid operators usually need to plan long-term and short-term grid operations, including load forecasting, power supply, and power distribution. Therefore, existing data management methods often model distributed generation as part of the load to simulate how distributed generation matches the actual load level. The equivalent distributed generators of the 10kV and 35kV outgoing lines of the transmission grid in the given data are currently modeled as loads. Some DERs exhibit load-like characteristics at certain times of the day, while displaying distributed generation characteristics at other times. This makes it challenging to differentiate between distributed generators and loads during scheduling management or equipment management. Therefore, this paper proposes an identification method for distributed generation and load based on graph database technology. The method uses the given real transmission network model data of a province to build a graph model, and performs naming rule verification, topology inspection, plant station power balance verification, and other identification steps in order to identify distributed generation from the existing load data.",,979-8-3503-9322-4,10.1109/ICNEPE60694.2023.10429693,China Southern Power Grid; ,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10429693,distributed generation;graph database;naming rule verification;topology check;substation power balance,Distributed databases;Power system stability;Data models;Stability analysis;Distributed power generation;Topology;Load modeling,,,,11,IEEE,16-Feb-24,24-26 Nov. 2023,24-26 Nov. 2023,IEEE,IEEE Conferences
IoTO++: An Enhanced Interoperability Based on Semantic for IoT Environments,A. Aguilera; D. Garrido; I. Dongo; M. Cornejo-Lupa,"Escuela de Ingeniería Informática MEDING Interdisciplanary Center, Universidad de Valparaíso, Valparaíso, Chile; Doctorado en Ingeniería Informática Aplicada, Universidad de Valparaíso, Valparaíso, Chile; Electrical and Electronics Engineering Department, Universidad Católica San Pablo, Arequipa, Peru; Electrical and Electronics Engineering Department, Universidad Católica San Pablo, Arequipa, Peru",2024 L Latin American Computer Conference (CLEI),8-Oct-24,2024,,,1,10,"The rapid adoption of Internet of Things (IoT) technology has allowed the development of applications where devices such as sensors generate data periodically. These devices are integrated into IoT systems where large volumes of data are managed and whose processing and handling for the proper operation of the IoT system is necessary. One of the main challenges in IoT is the effective data management and real-time communication between heterogeneous devices. Ontologies, which are semantic representations of knowledge, are built to provide semantic interoperability. However, the diversity of applications and the scope of new technologies makes current ontology's proposals incomplete in modeling privacy and security, energy awareness, and ethics at the same time. In this context, we propose an enhanced Ontology, called IoTO++, for improving semantic interoperability in IoT environments. We validated the proposal considering lexical, structural and domain knowledge levels. Results show that even though lite ontologies are more maintainable, compatible and transferable, ontologies with more annotations are better in terms of functional adequacy. This includes but is not limited to characteristics like, knowledge reuse, acquisition and representation. Furthermore, IoTO++ demonstrates superior performance in the domain knowledge level, proving to be a more effective solution for modeling the variety of IoT applications.",2771-5752,979-8-3315-4097-5,10.1109/CLEI64178.2024.10700398,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10700398,IoT;Interoperability;Semantic;Ontology,Ethics;Semantics;Ontologies;Regulation;Real-time systems;Sensors;Internet of Things;Proposals;Interoperability;Standards,,,,28,IEEE,8-Oct-24,12-16 Aug. 2024,12-16 Aug. 2024,IEEE,IEEE Conferences
An Ontology Based Context-Aware Architecture for Smart Campus Applications,N. Verstaevel; G. Garzone; T. Monteil; N. Guermouche; J. Barthelemy; P. Perez,"SMART Infrastructure Facility, University of Wollongong, Wollongong, Australia; LAAS-CNRS, Université de Toulouse, Toulouse, France; LAAS-CNRS, Université de Toulouse, Toulouse, France; LAAS-CNRS, Université de Toulouse, Toulouse, France; SMART Infrastructure Facility, University of Wollongong, Wollongong, Australia; SMART Infrastructure Facility, University of Wollongong, Wollongong, Australia","2018 IEEE Intl Conf on Parallel & Distributed Processing with Applications, Ubiquitous Computing & Communications, Big Data & Cloud Computing, Social Computing & Networking, Sustainable Computing & Communications (ISPA/IUCC/BDCloud/SocialCom/SustainCom)",21-Mar-19,2018,,,1056,1063,"With an estimated number of more than 15 billion objects, the management of architectures for the Internet of Things is a veritable challenge. The inherent mobility (in terms of devices and users) of the IoT means that the architecture has to be resilient to appearance and disappearance of devices. In this paper, we address the problem of autonomic management of IoT architecture by the means of ontologies. The problem we address is that given a dynamic system which is built upon a multitude of entities abstracted as services and characterized by their inputs and outputs, evolving targets that aim to provide services in terms of data or in terms of control, our goal is to enable autonomic management of these kinds of systems to cope with changes and evolutions so that the specified targets are fulfilled throughout the execution according to the specifics and dynamic needs of the system's users. We propose an innovative architecture that relies on ontologies to enable context-aware application to self-compose on demand. This architecture is being deployed to two smart campuses in two universities from Toulouse, France and Wollongong, Australia.",,978-1-7281-1141-4,10.1109/BDCloud.2018.00158,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8672271,smart campus;dynamic service management;IoT;semantic;graph grammar;context awareness,Buildings;Ontologies;Computer architecture;Internet of Things;Semantics;Urban areas;Interoperability,,4,,29,IEEE,21-Mar-19,11-13 Dec. 2018,11-13 Dec. 2018,IEEE,IEEE Conferences
